名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
如果雨之後,周興哲,Eric Chou,如果雨之後,,,,,,Mandopop,9903814,279,1,1,4,10,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/23 22:18,,,,
天黑請閉眼,陳零九 & 邱鋒澤,Nine Chen & Qiu Feng Ze,天黑請閉眼 - Single,,,,,,Mandopop,10258343,286,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/27 01:16,,,,
那女孩對我說,梁文音,Peter Lee,#2019還在聽 - Single,,,,,,Mandopop,9392404,268,1,1,1,3,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/24 02:31,,,,
讓我留在你身邊,陳奕迅,Sean Tang,讓我留在你身邊 - Single,,,,,,Mandopop,6443588,185,1,1,1,1,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/21 02:22,,,,
讓我為你唱情歌,蕭敬騰,A Huo,欲望反光,,,,,,Mandopop,9121192,251,1,1,3,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,,,,,
再見,鄧紫棋,,再見 - Single,,,,,,Mandopop,7346025,206,1,1,1,1,2015,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/22 03:47,,,,
年輪說,楊丞琳,Zheng Yu Jie,年輪說,,,,,,Mandopop,9401415,266,1,1,1,10,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
青春住了誰,楊丞琳,蘇亦承,青春住了誰 - Single,,,,,,Mandopop,9756618,270,1,1,1,1,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
什麼歌 (電影《捉妖記2》主題曲),五月天,,什麼歌 (電影《捉妖記2》主題曲) - Single,,,,,,Mandopop,8422611,236,1,1,1,1,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
你不是真正的快樂,五月天,,後 青春期的詩,,,,,,Mandopop,10759268,299,1,1,3,12,2008,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/1/8 12:26,,,,
